LME_PR_AL_serie_MOM_7,LME_PR_AL_serie_close
-10.5,1902
-24.5,1900.5
-33,1886
-7.5,1906
19.5,1897.5
25.5,1900.5
-21,1889.5
-6,1896
11,1911.5
36.5,1922.5
-15,1891
5.5,1903
-14.5,1886
12.5,1902
-5,1891
-23.5,1888
-3.5,1919
89,1980
114,2017
137,2023
137.5,2039.5
138.5,2029.5
167,2055
155.5,2074.5
114.5,2094.5
87,2104
61,2084
64.5,2104
52.5,2082
49,2104
21,2095.5
,
-4.5,2090
-38,2066
29,2113
9,2113
13,2095
-23,2081
-26.5,2069
-16,2074
5,2071
-13,2100
-30.5,2082.5
-13,2082
-17,2064
-1.5,2067.5
-8,2066
36,2107
63.5,2163.5
70.5,2153
54,2136
63.5,2127.5
48,2115.5
50.5,2116.5
-5,2102
-53.5,2110
,
-87,2066
-22,2114
11,2138.5
6.5,2122
4.5,2121
32,2134
22.5,2132.5
57,2123
3,2117
0.5,2139
21.5,2143.5
-10.5,2110.5
-28,2106
-4.5,2128
35.5,2158.5
15.5,2132.5
4.5,2143.5
5.5,2149
63.5,2174
12,2118
14,2142
-19,2139.5
54.5,2187
8,2151.5
14,2163
-23,2151
12,2130
-39,2103
-62,2077.5
-98,2089
-52.5,2099
-78.5,2084.5
-69.5,2081.5
